Time,Frequency,DC,SG,AG
00:00-00:15,49.92,548.5,311.31,297.54
00:15-00:30,50.02,548.5,311.31,293.54
00:30-00:45,50.01,548.5,311.31,294.81
00:45-01:00,49.98,548.5,311.31,296.2
01:00-01:15,49.93,548.5,311.31,296.12
01:15-01:30,49.9,548.5,311.31,298.67
01:30-01:45,49.9,548.5,311.31,296.85
01:45-02:00,49.92,548.5,311.31,298.74
02:00-02:15,49.98,548.5,311.31,298.62
02:15-02:30,50,548.5,311.31,299.03
02:30-02:45,50.02,548.5,311.31,294.43
02:45-03:00,49.99,548.5,311.31,296.84
03:00-03:15,50,548.5,311.31,295.01
03:15-03:30,50.03,548.5,311.31,296.4
03:30-03:45,50.06,548.5,311.31,296.93
03:45-04:00,50.03,548.5,311.31,295.97
04:00-04:15,50,548.5,311.31,292.45
04:15-04:30,49.95,548.5,311.31,290.73
04:30-04:45,49.94,548.5,311.31,293.85
04:45-05:00,49.98,548.5,311.31,296.17
05:00-05:15,49.96,548.5,341.43,320.39
05:15-05:30,49.91,548.5,371.55,345.92
05:30-05:45,49.96,548.5,401.67,381.02
05:45-06:00,49.99,548.5,431.79,409.82
06:00-06:15,50.01,548.5,391.63,384.45
06:15-06:30,50.01,548.5,351.47,345.32
06:30-06:45,50.04,548.5,311.31,309.78
06:45-07:00,50.03,548.5,311.31,300.99
07:00-07:15,50.05,548.5,311.31,294.44
07:15-07:30,50.01,548.5,311.31,299.67
07:30-07:45,50.01,548.5,311.31,302.9
07:45-08:00,49.99,548.5,311.31,304.13
08:00-08:15,49.96,548.5,311.31,305.3
08:15-08:30,50,548.5,311.31,307.71
08:30-08:45,49.98,548.5,311.31,306.28
08:45-09:00,50.01,548.5,311.31,307.66
09:00-09:15,50,548.5,311.31,307.07
09:15-09:30,49.97,548.5,311.31,307.15
09:30-09:45,49.98,548.5,311.31,310.17
09:45-10:00,49.97,548.5,311.31,305.7
10:00-10:15,49.93,548.5,311.31,309.92
10:15-10:30,49.96,548.5,311.31,307.65
10:30-10:45,49.97,548.5,311.31,309.23
10:45-11:00,50.04,548.5,311.31,308.44
11:00-11:15,50.06,548.5,311.31,315.44
11:15-11:30,50.05,548.5,311.31,311.04
11:30-11:45,50,548.5,311.31,311.07
11:45-12:00,49.99,548.5,311.31,309.77
12:00-12:15,49.96,548.5,311.31,309.55
12:15-12:30,49.89,548.5,311.31,311.77
12:30-12:45,49.85,548.5,311.31,310.53
12:45-13:00,49.93,548.5,311.31,311.48
13:00-13:15,49.98,548.5,311.31,310.03
13:15-13:30,49.95,548.5,311.31,311.48
13:30-13:45,49.97,548.5,311.31,312.78
13:45-14:00,49.97,548.5,311.31,313.95
14:00-14:15,50.04,548.5,311.31,313.65
14:15-14:30,50.01,548.5,311.31,307.88
14:30-14:45,50.03,548.5,311.31,294.93
14:45-15:00,50.02,548.5,311.31,293.86
15:00-15:15,50.05,548.5,311.31,289.91
15:15-15:30,50.01,548.5,311.31,287.75
15:30-15:45,50.01,548.5,311.31,286.13
15:45-16:00,50.02,548.5,311.31,288.48
16:00-16:15,50.06,548.5,311.31,288.41
16:15-16:30,50.05,548.5,311.31,292.43
16:30-16:45,50.04,548.5,351.47,312.74
16:45-17:00,50.04,548.5,391.63,355.61
17:00-17:15,50.08,548.5,431.79,393.76
17:15-17:30,50,548.5,471.95,427.07
17:30-17:45,50.01,548.5,505.22,455.52
17:45-18:00,49.97,548.5,505.22,464.04
18:00-18:15,50,548.5,505.22,470.75
18:15-18:30,49.99,548.5,505.22,478.66
18:30-18:45,50.03,548.5,505.22,490.21
18:45-19:00,50.02,548.5,505.22,471.96
19:00-19:15,50.01,548.5,505.22,460.91
19:15-19:30,49.99,548.5,505.22,461.36
19:30-19:45,50.02,548.5,505.22,466.13
19:45-20:00,49.99,548.5,505.22,461.35
20:00-20:15,49.95,548.5,505.22,459.33
20:15-20:30,49.96,548.5,505.22,457.37
20:30-20:45,49.99,548.5,505.22,461.53
20:45-21:00,49.97,548.5,505.22,479.25
21:00-21:15,49.86,548.5,505.22,497.27
21:15-21:30,49.9,548.5,505.22,497.53
21:30-21:45,49.99,548.5,505.22,483.68
21:45-22:00,50.04,548.5,505.22,484.61
22:00-22:15,49.93,548.5,505.22,482.34
22:15-22:30,49.95,548.5,505.22,481.81
22:30-22:45,50.02,548.5,505.22,484.1
22:45-23:00,49.98,548.5,505.22,486.39
23:00-23:15,49.97,548.5,505.22,489.26
23:15-23:30,49.97,548.5,505.22,487.35
23:30-23:45,49.95,548.5,505.22,485.81
23:45-24:00,50.01,548.5,505.22,483.87
